park_id,name_en,address_en,district,latitude,longitude,height_limit,opening_status,website,phone
tdc2p9,Airport Car Park - Urban & Lantau Taxi (LONG-TERM),"Sky Plaza Road Central, Hong Kong International Airport, Lantau",Islands,22.31249673,113.937091,0,OPEN,http://www.hongkongairport.com/en/transport/parking/parking-charges.page#content3,2183 4360
tdstt71,Fung Yip Street Car Park,"Fung Yip Street, Chai Wan, Hong Kong",Eastern,22.26695036,114.2448234,0,OPEN,,
tdc28p1,Heung Yuen Wai BCP Public Car Park-Private Car & Motorcycle,"Mezzanine Floor of Passenger Terminal Building, Heung Yuen Wai Boundary Control Point, New Territories, Hong Kong",North,22.55267812,114.1536266,2.4,OPEN,https://www.hywparking.com.hk/car-park/carParkInfo?lang=en,31044656
tdc2p4,AIRPORT CAR PARK 4,"GF-L5, 11 CHEONG TAT ROAD, Hong Kong International Airport, Islands District, New Territories",Islands,22.317513287529,113.93449828751,2,CLOSED,http://www.hongkongairport.com/eng/transport/parking.html,2183 4360
tdc22p1,Hong Kong Disneyland Car Park,"Hong Kong Disneyland Resort, Lautau Island, Hong Kong",Tsuen Wan,22.316644,114.047746,0,OPEN,https://www.hongkongdisneyland.com/guest-services/parking/,3550-3388
tdstt4p1,Ngau Pei Sha Street,"Ngau Pei Sha Street, Sha Tin, New Territories",Sha Tin,22.38232836,114.2058283,0,OPEN,,
tdstt11,On Chun Street,"On Chun Street, Ma On Shan, New Territories",Sha Tin,22.42554166,114.2267528,0,OPEN,,
tdstt9p1,Shing Hong Lane,"Shing Hong Lane Open Space Carpark, Heng Fa Chuen",Eastern,22.27917047,114.23856157,0,OPEN,,
tdc6p7,Po Shek Wu Estate,"Choi Yuen Road, Sheung Shui, N.T.",North,22.50333,114.1247,0,OPEN,,2739 0831
tdstt15,San On Street,"San On Street, Area 12, Tuen Mun, New Territories",Tuen Mun,22.3934536,113.97033691,0,OPEN,,
tdc20p1,Hong Kong Wetland Park Car Park,"Wetland Park Road, Tin Shui Wai, NT",Yuen Long,22.4692249,114.0045853,0,OPEN,https://www.wetlandpark.gov.hk/en/information/transport-driving,3152 2666
tdstt12,Ping Ha Road,"Ping Ha Road, Ha Tsuen, Yuen Long, New Territories",Yuen Long,22.445961651,113.996367124,0,OPEN,,
tdc10p2,Shatin Government Offices,"1 sheung wo che road, shatin",Sha Tin,22.385732692,114.186986002,2,OPEN,,98382046
tdc10p3,Cheung Sha Wan Government Offices Car Park,"303 Cheung Sha Wan Road, Kowloon",Sham Shui Po,22.331759072,114.160364488,0,OPEN,,97916659 / 25705690
tdstt17,Hoi Wah Road,"Hoi Wah Road, Tuen Mun",Tuen Mun,22.37989616,113.97042084,0,OPEN,https://www.wilsonparking.com.hk/en/car_parks/detail/100,28303845
tdstt16,Tsing Yin Street,"Tsing Yin Street, Area 10, Tuen Mun, New Territories",Tuen Mun,22.39818382,113.97418213,0,OPEN,,
